DATASET, CLASSIFIER, FEATURE_SELECTION, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,Random Forest,No Sampling,0.8643309038856462,0.8846559109962641,0.8116325824034307,0.27979378361132434,225.5,32.166666666666664,27.166666666666668,33.5
bookkeeper,Naive Bayes,No Sampling,0.8449641377963144,0.8334030803122197,0.7515828037121706,0.21496301756262579,446.1666666666667,68.16666666666667,50.5,71.83333333333333
bookkeeper,IBk,No Sampling,0.845294821186139,0.8182110409732072,0.7111788152399755,0.21438293333223732,657.3333333333334,96.83333333333333,81.16666666666667,119.66666666666667
bookkeeper,Random Forest,Undersampling,0.8608560734310254,0.7858987834077361,0.7143443748384951,0.22628205282241956,1465.6666666666667,197.5,217.83333333333334,347.3333333333333
bookkeeper,Naive Bayes,Undersampling,0.8575613064689936,0.7872747013073208,0.7149031287234616,0.22266217860294546,1689.6666666666667,231.16666666666666,243.5,382.3333333333333
bookkeeper,IBk,Undersampling,0.8594141152294186,0.7767268650412423,0.7084985856656424,0.21921040036375575,1875.5,252.83333333333334,281.1666666666667,455.5
bookkeeper,Random Forest,Oversampling,0.8577889089416474,0.8100890493848572,0.7230966357064851,0.22849507361890523,858.6666666666666,119.16666666666667,118.16666666666667,177.33333333333334
bookkeeper,Naive Bayes,Oversampling,0.8531191380752778,0.8074570162262328,0.720287337627744,0.22252599160409478,1082.8333333333333,152.66666666666666,144.0,212.16666666666666
bookkeeper,IBk,Oversampling,0.8543217017947696,0.7937048440804003,0.708097099801349,0.2172992688782115,1277.1666666666667,177.33333333333334,178.66666666666666,276.8333333333333
bookkeeper,Random Forest,SMOTE,0.8596901404445867,0.7858477244729335,0.7173613618086758,0.22341232330873315,2096.1666666666665,283.8333333333333,309.5,493.8333333333333
bookkeeper,Naive Bayes,SMOTE,0.8570635534016579,0.7824566273232265,0.7161143568880824,0.2158071841643421,2307.8333333333335,317.8333333333333,334.8333333333333,541.1666666666666
bookkeeper,IBk,SMOTE,0.8581748693878523,0.7812410386660836,0.7113465038310477,0.2172792473659446,2514.1666666666665,342.8333333333333,369.1666666666667,593.8333333333334
