DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,1,44.44444444444444,Random Forest,No Sampling,0.7037037037037037,0.9432624113475178,0.8253433880958794,0.27054191275515493,133.0,56.0,23.0,8.0
bookkeeper,2,56.011315417256014,Random Forest,No Sampling,0.9019607843137255,0.7244094488188977,0.7903715982870563,0.27871978560016497,184.0,20.0,37.0,70.0
bookkeeper,3,69.4499017681729,Random Forest,No Sampling,0.7448275862068966,0.9773755656108597,0.7500251382604324,0.20077421033798512,216.0,74.0,16.0,5.0
bookkeeper,4,76.48384673178062,Random Forest,No Sampling,0.8884120171673819,0.9452054794520548,0.9140678130768484,0.6982902947592714,207.0,26.0,68.0,12.0
bookkeeper,5,75.15527950310559,Random Forest,No Sampling,0.9682080924855492,0.8150851581508516,0.8594680761808876,0.21344620695323407,335.0,11.0,18.0,76.0
bookkeeper,6,84.8993288590604,Random Forest,No Sampling,0.9788732394366197,0.9025974025974026,0.7305194805194806,0.016990291262135502,278.0,6.0,1.0,30.0
bookkeeper,1,44.44444444444444,Naive Bayes,No Sampling,0.6979166666666666,0.475177304964539,0.6378938863452733,0.09605872028083623,134.0,58.0,100.0,148.0
bookkeeper,2,56.011315417256014,Naive Bayes,No Sampling,0.9069212410501193,0.7480314960629921,0.7653336096145876,0.31159122539598383,380.0,39.0,75.0,128.0
bookkeeper,3,69.4499017681729,Naive Bayes,No Sampling,0.7266666666666667,0.9864253393665159,0.7054927099044747,0.101797424484387,436.0,164.0,16.0,6.0
bookkeeper,4,76.48384673178062,Naive Bayes,No Sampling,0.7881040892193308,0.9680365296803652,0.7905433304187311,0.4263787870110532,424.0,114.0,74.0,14.0
bookkeeper,5,75.15527950310559,Naive Bayes,No Sampling,0.970310391363023,0.8746958637469586,0.8736261431328132,0.30041466330865696,719.0,22.0,36.0,103.0
bookkeeper,6,84.8993288590604,Naive Bayes,No Sampling,0.9798657718120806,0.948051948051948,0.7366071428571429,0.05353728489483766,584.0,12.0,2.0,32.0
bookkeeper,1,44.44444444444444,IBk,No Sampling,0.6690647482014388,0.4397163120567376,0.5617350450369573,0.045420974889217064,186.0,92.0,145.0,237.0
bookkeeper,2,56.011315417256014,IBk,No Sampling,0.9052132701421801,0.7519685039370079,0.7351537198201102,0.3103107382371016,573.0,60.0,111.0,189.0
bookkeeper,3,69.4499017681729,IBk,No Sampling,0.7322834645669292,0.9819004524886877,0.6771018378861516,0.13355027080036583,651.0,238.0,32.0,12.0
bookkeeper,4,76.48384673178062,IBk,No Sampling,0.8119325551232166,0.9528158295281582,0.8076686421192396,0.49583585012721254,626.0,145.0,137.0,31.0
bookkeeper,5,75.15527950310559,IBk,No Sampling,0.9746954076850984,0.8434712084347121,0.8505187795396706,0.2825697048752651,1040.0,27.0,60.0,193.0
bookkeeper,6,84.8993288590604,IBk,No Sampling,0.9785794813979707,0.9393939393939394,0.6348948670377241,0.01861006106426163,868.0,19.0,2.0,56.0
bookkeeper,1,33.734939759036145,Random Forest,Undersampling,0.7285491419656787,0.47315096251266464,0.5872142554840412,0.13933640740030892,467.0,174.0,379.0,520.0
bookkeeper,2,46.47160068846816,Random Forest,Undersampling,0.9121278140885984,0.7064116985376828,0.7376462810569732,0.2900929748765483,1256.0,121.0,278.0,522.0
bookkeeper,3,55.25179856115108,Random Forest,Undersampling,0.7366548042704626,0.9366515837104072,0.670954022634695,0.14260651629072701,1449.0,518.0,112.0,98.0
bookkeeper,4,64.31014823261117,Random Forest,Undersampling,0.8266104756170981,0.8956294846705806,0.7965657262613586,0.48485694552614955,1373.0,288.0,370.0,160.0
bookkeeper,5,63.08724832214765,Random Forest,Undersampling,0.98080204778157,0.7990962808481057,0.8522818138078287,0.2600790343129844,2299.0,45.0,158.0,578.0
bookkeeper,6,72.0,Random Forest,Undersampling,0.9803921568627451,0.9044526901669759,0.641404149786074,0.04072043852779916,1950.0,39.0,10.0,206.0
bookkeeper,1,33.734939759036145,Naive Bayes,Undersampling,0.7267080745341615,0.4148936170212766,0.5856085600143639,0.11675438933497259,468.0,176.0,456.0,660.0
bookkeeper,2,46.47160068846816,Naive Bayes,Undersampling,0.9082007343941249,0.7303149606299213,0.7430460224133167,0.29987034516568073,1484.0,150.0,306.0,548.0
bookkeeper,3,55.25179856115108,Naive Bayes,Undersampling,0.7353330392589326,0.9428733031674208,0.6676458804675717,0.13785685191263525,1667.0,600.0,120.0,101.0
bookkeeper,4,64.31014823261117,Naive Bayes,Undersampling,0.8141321044546851,0.9075342465753424,0.7880571899591956,0.45990317205202275,1590.0,363.0,389.0,162.0
bookkeeper,5,63.08724832214765,Naive Bayes,Undersampling,0.9805931893079458,0.8144768856447688,0.8606059652655424,0.27698660149995774,2678.0,53.0,179.0,610.0
bookkeeper,6,72.0,Naive Bayes,Undersampling,0.9804006968641115,0.9135551948051948,0.6444551542207793,0.04460171165240351,2251.0,45.0,11.0,213.0
bookkeeper,1,33.734939759036145,IBk,Undersampling,0.7315340909090909,0.40583136327817176,0.5815752461322081,0.11918550345600593,515.0,189.0,522.0,754.0
