"DATASET"," #TRAINING_RELEASES"," %TRAINING_INSTANCES"," CLASSIFIER"," FEATURE_SELECTION"," PRECISION"," RECALL"," AUC"," KAPPA"," TP"," FP"," TN"," FN"
"openjpa","1","49.97506234413965","Random Forest","No Sampling","0.934","1","0.8188405797101449","0.07804796523773816","934","66","3","0"
"openjpa","2","66.54497178891471","Random Forest","No Sampling","0.9528205128205128","0.990405117270789","0.9101583917148949","0.44115156646909354","929","46","24","9"
"openjpa","3","74.1752831117676","Random Forest","No Sampling","0.9838872104733132","0.9644619940769991","0.9390972907754744","0.4101388468359356","977","16","20","36"
"openjpa","4","80.11834319526628","Random Forest","No Sampling","0.9577464788732394","0.9968586387434555","0.8733478217919589","0.3132683340398481","952","42","11","3"
"openjpa","5","82.77551020408163","Random Forest","No Sampling","0.9774066797642437","0.9716796875","0.8879945816532258","0.2100336952452269","995","23","8","29"
"openjpa","6","85.30640668523677","Random Forest","No Sampling","0.9639810426540284","0.978953201358","0.696009936345288","0.3152674080194374","1017","38","0","0"
"openjpa","7","87.18882817243473","Random Forest","No Sampling","0.9324452901998097","0.982320726904","0.8464353741496599","0.09474892742763906","980","71","4","0"
"openjpa","8","86.32075471698113","Random Forest","No Sampling","0.9294306335204491","0.9847068819031436","0.8466008655480034","0.3929753117841694","1159","88","40","18"
"openjpa","9","87.96680497925311","Random Forest","No Sampling","0.9145367412140575","0.9922010398613518","0.8467696580853237","0.39499788181316786","1145","107","44","9"
"openjpa","10","91.48810528091784","Random Forest","No Sampling","0.8934850051706308","0.9818181818181818","0.8109408033826638","0.2574596637044456","864","103","26","16"
"openjpa","11","89.02741269245212","Random Forest","No Sampling","0.9732914375490966","0.9017467248908297","0.9039426793153642","0.3309841409190299","1239","34","53","135"
"openjpa","12","90.1123443421765","Random Forest","No Sampling","0.9609097370291401","0.9868613138686131","0.9306168284270474","0.4720592821396223","1352","55","36","18"
"openjpa","13","90.75052204888834","Random Forest","No Sampling","0.9735428254367893","0.9575033200531209","0.9483754921038792","0.4998437112932247","1442","0","0","64"
"openjpa","14","91.48732932516717","Random Forest","No Sampling","0.9861342182745168","0.9986798679867986","0.9732546212345678","0.5206238564189785","1513","0","0","2"
"openjpa","1","49.97506234413965","Naive Bayes","No Sampling","0.9415650406504065","0.9919700214132763","0.7397433510225615","0.23874967889586926","1853","115","23","15"
"openjpa","2","66.54497178891471","Naive Bayes","No Sampling","0.9492567913890313","0.9872068230277186","0.8562785561985988","0.3723600283486891","1852","99","41","24"
"openjpa","3","74.1752831117676","Naive Bayes","No Sampling","0.9803328290468987","0.9595261599210266","0.8574880717341231","0.32442530723907964","1944","39","33","82"
"openjpa","4","80.11834319526628","Naive Bayes","No Sampling","0.9565217391304348","0.9905759162303664","0.8312036945569495","0.25716391258751115","1892","86","20","18"
"openjpa","5","82.77551020408163","Naive Bayes","No Sampling","0.9758976881455976","0.96875","0.8264002646169355","0.15969437023774977","1984","49","13","64"
"openjpa","6","85.30640668523677","Naive Bayes","No Sampling","0.9721913236929922","0.8593903638151426","0.7272680225637841","0.08077214310164216","1748","50","26","286"
"openjpa","7","87.18882817243473","Naive Bayes","No Sampling","0.9388835418671799","0.9954081632653061","0.7776258503401361","0.2335879493616795","1951","127","23","9"
"openjpa","8","86.32075471698113","Naive Bayes","No Sampling","0.9392288348700755","0.9519966015293118","0.8331248008708582","0.40833591070123143","2241","145","111","113"
"openjpa","9","87.96680497925311","Naive Bayes","No Sampling","0.9169341894060995","0.9900346620450606","0.8243081937860823","0.41430032158356517","2285","207","95","23"
"openjpa","10","91.48810528091784","Naive Bayes","No Sampling","0.8908252178370066","0.9875","0.7958289288231148","0.23668631433915288","1738","213","45","22"
"openjpa","11","89.02741269245212","Naive Bayes","No Sampling","0.9732006125574273","0.9250363901018923","0.8974625223778213","0.3826609347442685","2542","70","104","206"
"openjpa","12","90.1123443421765","Naive Bayes","No Sampling","0.9612625538020086","0.9781021897810219","0.9176345552257961","0.4387040120012442","2680","108","74","60"
"openjpa","13","90.75052204888834","Naive Bayes","No Sampling","0.9725643819293847","0.9438911022576362","0.9321578429756114","0.4693128743568872","2843","0","0","169"
"openjpa","14","91.48732932516717","Naive Bayes","No Sampling","0.9887532785114079","0.9775577557755776","0.9543682913725502","0.5201283097388996","2962","0","0","68"
"openjpa","1","49.97506234413965","IBk","No Sampling","0.9426536731634183","0.8975731620271235","0.6784077625712482","0.12190152531109137","2515","153","54","287"
"openjpa","2","66.54497178891471","IBk","No Sampling","0.9507523939808481","0.9879175550817342","0.8500033844383524","0.3988742964352722","2780","144","66","34"
"openjpa","3","74.1752831117676","IBk","No Sampling","0.9807237064592492","0.9542612701546561","0.851181553386226","0.31218177317159573","2900","57","51","139"
"openjpa","4","80.11834319526628","IBk","No Sampling","0.9577274264457221","0.9884816753926702","0.8034014949455036","0.2783884443558408","2832","125","34","33"
"openjpa","5","82.77551020408163","IBk","No Sampling","0.9772727272727273","0.9658203125","0.8182281165994624","0.1885045886159885","2967","69","24","105"
"openjpa","6","85.30640668523677","IBk","No Sampling","0.9694307800421644","0.9042936742051786","0.6439878785787806","0.07565463241872426","2759","87","27","292"
"openjpa","7","87.18882817243473","IBk","No Sampling","0.9374197689345315","0.9935374149659864","0.7213219954648526","0.19860144824648565","2921","195","30","19"
"openjpa","8","86.32075471698113","IBk","No Sampling","0.9337416481069042","0.9498725573491928","0.7897635083309733","0.35522717504794943","3354","238","146","177"
"openjpa","9","87.96680497925311","IBk","No Sampling","0.9123931623931624","0.9867128827267475","0.7932067237735975","0.3600575865568432","3416","328","125","46"
"openjpa","10","91.48810528091784","IBk","No Sampling","0.8922176308539945","0.981439393939394","0.7835623678646935","0.24354673028811907","2591","313","74","49"
"openjpa","11","89.02741269245212","IBk","No Sampling","0.9750908147379346","0.9116933527413876","0.8802245125213554","0.3672609363702096","3758","96","165","364"
"openjpa","12","90.1123443421765","IBk","No Sampling","0.9589988081048868","0.9788321167883212","0.8650463891339804","0.40810880565614205","4023","172","101","87"
"openjpa","13","90.75052204888834","IBk","No Sampling","0.9673569242789935","0.9400177069499779","0.8907326217765382","0.4237248578254122","4247","0","0","271"
"openjpa","14","91.48732932516717","IBk","No Sampling","0.9802047663987054","0.9823982398239824","0.9345928539926421","0.4829719963072909","4465","0","0","80"
"openjpa","1","9.883198562443846","Random Forest","Undersampling","0.9475773110633372","0.8764148057509942","0.6690572141713962","0.14965345575861785","5730","317","166","808"
"openjpa","2","19.745222929936304","Random Forest","Undersampling","0.9588954134264402","0.9201949436491015","0.8193997215090727","0.3132415641369232","6042","259","231","524"
"openjpa","3","27.000695894224076","Random Forest","Undersampling","0.9841169995282277","0.8825271470878578","0.8273428983307702","0.20065822751763074","6258","101","151","833"
"openjpa","4","31.33514986376022","Random Forest","Undersampling","0.9632903805813605","0.9617053103964098","0.7807595151070406","0.2971670016088362","6429","245","126","256"
"openjpa","5","34.91671807526218","Random Forest","Undersampling","0.981038374717833","0.9094587053571429","0.7823583566491112","0.1516256724997534","6519","126","91","649"
"openjpa","6","37.31431966726085","Random Forest","Undersampling","0.9710794927312094","0.8820058997050148","0.6163998280572903","0.08204986567327283","6279","187","79","840"
"openjpa","7","40.02274019329165","Random Forest","Undersampling","0.9427672056088139","0.9604956268221574","0.6833338886575038","0.22400534938147781","6589","400","125","271"
"openjpa","8","39.55534969893469","Random Forest","Undersampling","0.9397868789318269","0.8884573370554679","0.7578913388847468","0.2982658681855268","7320","469","427","919"
"openjpa","9","45.962732919254655","Random Forest","Undersampling","0.9209596882231154","0.9361228026739292","0.7506883571085418","0.34075390357204616","7562","649","408","516"
"openjpa","10","58.32300702189178","Random Forest","Undersampling","0.9021601016518425","0.922077922077922","0.7335515813090564","0.2563840488883391","5680","616","287","480"
"openjpa","11","53.337591823698496","Random Forest","Undersampling","0.9784456951263322","0.8495529216053234","0.8490914510661967","0.28058983808597726","8171","180","429","1447"
"openjpa","12","55.794251134644476","Random Forest","Undersampling","0.9634828496042216","0.9519290928050053","0.8247915721995865","0.3769887421960247","9129","346","291","461"
"openjpa","13","57.36126840317101","Random Forest","Undersampling","0.9749187230823407","0.9041927527983304","0.8506239723707431","0.4016749032725849","9532","0","0","1010"
"openjpa","14","57.21547585427845","Random Forest","Undersampling","0.9857400913375298","0.9701084394153701","0.8803926174849123","0.4578013158129592","10288","0","0","317"
"openjpa","1","9.883198562443846","Naive Bayes","Undersampling","0.9491039426523298","0.8859743040685225","0.6837828618145424","0.17139833858187373","6620","355","197","852"
"openjpa","2","19.745222929936304","Naive Bayes","Undersampling","0.9570173029387531","0.9287046908315565","0.8116912646588487","0.31246340254943505","6969","313","247","535"
"openjpa","3","27.000695894224076","Naive Bayes","Undersampling","0.9832470716426042","0.8907946692991116","0.8217484764039706","0.20374830002665756","7219","123","165","885"
"openjpa","4","31.33514986376022","Naive Bayes","Undersampling","0.9628612527788676","0.9637434554973822","0.7759829102044848","0.2962418142038968","7363","284","140","277"
"openjpa","5","34.91671807526218","Naive Bayes","Undersampling","0.9805101373446697","0.9150390625","0.7716428695186492","0.15184454011369256","7496","149","99","696"
"openjpa","6","37.31431966726085","Naive Bayes","Undersampling","0.9726364557695092","0.8257128810226155","0.6250604444832583","0.06925068911962338","6718","189","115","1418"
"openjpa","7","40.02274019329165","Naive Bayes","Undersampling","0.9434646654158849","0.9621173469387755","0.6925525085034013","0.23706099592073127","7543","452","148","297"
"openjpa","8","39.55534969893469","Naive Bayes","Undersampling","0.9419063733784546","0.8867884451996602","0.7600603776152294","0.3096173826625108","8350","515","509","1066"
"openjpa","9","45.962732919254655","Naive Bayes","Undersampling","0.9213483146067416","0.9415077989601387","0.7476603836927703","0.35291542156167316","8692","742","466","540"
"openjpa","10","58.32300702189178","Naive Bayes","Undersampling","0.9014859658778206","0.9306818181818182","0.7285342065274841","0.2615391722772952","6552","716","316","488"
"openjpa","11","53.337591823698496","Naive Bayes","Undersampling","0.9781844499586435","0.860716885007278","0.8532333860362395","0.29527934501618175","9461","211","485","1531"
"openjpa","12","55.794251134644476","Naive Bayes","Undersampling","0.9632461311717023","0.9541058394160584","0.8226841987847918","0.3806459071990133","10457","399","329","503"
"openjpa","13","57.36126840317101","Naive Bayes","Undersampling","0.9731285049121832","0.9071215139442231","0.8379815298362734","0.3945181638174264","10929","0","0","1119"
"openjpa","14","57.21547585427845","Naive Bayes","Undersampling","0.9867298198734085","0.9662541254125413","0.8763741979926157","0.4372075805987021","11711","0","0","409"
"openjpa","1","9.883198562443846","IBk","Undersampling","0.9516298633017876","0.861289555079705","0.6859237688898697","0.16845718905819498","7240","368","253","1166"
"openjpa","2","19.745222929936304","IBk","Undersampling","0.9587005791991942","0.9019189765458422","0.7957989718828382","0.27887714434240163","7614","328","302","828"
"openjpa","3","27.000695894224076","IBk","Undersampling","0.9841170585292647","0.8631128660743665","0.8099769864193468","0.17655786773659674","7869","127","197","1248"
"openjpa","4","31.33514986376022","IBk","Undersampling","0.9643195827406353","0.9464805119255381","0.7636998254799302","0.2725493319980877","8135","301","176","460"
"openjpa","5","34.91671807526218","IBk","Undersampling","0.9816775728732897","0.8952907986111112","0.7640125634707288","0.14249136531526144","8251","154","125","965"
"openjpa","6","37.31431966726085","IBk","Undersampling","0.9727626459143969","0.8194034742707309","0.6225014583145653","0.06775995162036218","7500","210","132","1653"
"openjpa","7","40.02274019329165","IBk","Undersampling","0.9455150263821978","0.9345804988662132","0.6865876375241454","0.21581844260268093","8243","475","200","577"
"openjpa","8","39.55534969893469","IBk","Undersampling","0.9433581296493092","0.838006230529595","0.7459584159350514","0.25749758081347884","8877","533","619","1716"
"openjpa","9","45.962732919254655","IBk","Undersampling","0.9236349377512009","0.9071827460042364","0.7363630669972753","0.3153136529699193","9422","779","580","964"
"openjpa","10","58.32300702189178","IBk","Undersampling","0.9038000252493372","0.9039141414141414","0.7187361339493122","0.24767442031245335","7159","762","399","761"
"openjpa","11","53.337591823698496","IBk","Undersampling","0.9792082027912276","0.834061135371179","0.8434237761885316","0.264439988427658","10314","219","564","2052"
"openjpa","12","55.794251134644476","IBk","Undersampling","0.9641666666666666","0.9383617193836172","0.813656448084672","0.347897514374768","11570","430","389","760"
"openjpa","13","57.36126840317101","IBk","Undersampling","0.9742691485873297","0.8847572672273868","0.8315329749857761","0.3662619504359124","11992","0","0","1562"
"openjpa","14","57.21547585427845","IBk","Undersampling","0.9894723067912453","0.9609827649431609","0.8741283067329175","0.4216597875895012","13103","0","0","532"
"openjpa","1","65.37797721781153","Random Forest","Oversampling","0.9397820163487739","0.9231798715203426","0.6901732652142879","0.11024730292775065","3449","221","55","287"
"openjpa","2","78.86792452830188","Random Forest","Oversampling","0.9557894736842105","0.9680170575692963","0.8637807455071581","0.39972209356183447","3632","168","112","120"
"openjpa","3","84.31284582024824","Random Forest","Oversampling","0.9828793774319066","0.9350937808489634","0.865016075737633","0.28725374989932184","3789","66","78","263"
"openjpa","4","88.37638376383764","Random Forest","Oversampling","0.9587576374745418","0.9858638743455498","0.8196779610787316","0.29195067381237255","3766","162","50","54"
"openjpa","5","90.07432496001505","Random Forest","Oversampling","0.9783756600452602","0.949951171875","0.8269239856350806","0.17498165909292404","3891","86","38","205"
"openjpa","6","91.67784176066893","Random Forest","Oversampling","0.9679569341194566","0.928220255653884","0.652061338819024","0.06923778352772908","3776","125","27","292"
"openjpa","7","92.82849568350214","Random Forest","Oversampling","0.9368217988907644","0.9910714285714286","0.739187925170068","0.1809627122188385","3885","262","38","35"
"openjpa","8","92.28768985284557","Random Forest","Oversampling","0.9338204592901879","0.9500849617672048","0.7947063591891461","0.356378939092054","4473","317","195","235"
"openjpa","9","93.2295719844358","Random Forest","Oversampling","0.9141116751269035","0.9753032928942807","0.7989746648570477","0.3535819869846557","4502","423","181","114"
"openjpa","10","95.2595724688748","Random Forest","Oversampling","0.893847372590441","0.9616477272727273","0.7767491411205074","0.23431306463852544","3385","402","114","135"
"openjpa","11","93.78271415804927","Random Forest","Oversampling","0.9758434817328808","0.8893740902474527","0.8722908719403035","0.3272142219594425","4888","121","227","608"
"openjpa","12","94.43364955994971","Random Forest","Oversampling","0.9607136420976753","0.9728102189781022","0.8769995287559156","0.4102060368998663","5331","218","146","149"
"openjpa","13","94.81262055662717","Random Forest","Oversampling","0.9714591212435568","0.9364209827357237","0.8923647885260018","0.4340873427723092","5641","0","0","383"
"openjpa","14","95.27345334290082","Random Forest","Oversampling","0.9852978147858923","0.9833333333333333","0.9327086122014379","0.4692154682040427","5959","0","0","101"
"openjpa","1","65.37797721781153","Naive Bayes","Oversampling","0.9433145824318477","0.9336188436830836","0.6982472147224033","0.16365491705297527","4360","262","83","310"
"openjpa","2","78.86792452830188","Naive Bayes","Oversampling","0.9540687919463087","0.9699360341151386","0.8469914712153518","0.38379612019779424","4549","219","131","141"
"openjpa","3","84.31284582024824","Naive Bayes","Oversampling","0.9817956143980141","0.9370187561697927","0.8423110672370298","0.27681764055240227","4746","88","92","319"
"openjpa","4","88.37638376383764","Naive Bayes","Oversampling","0.9589879616404815","0.9842931937172775","0.8018366097006816","0.29118619712711874","4700","201","64","75"
"openjpa","5","90.07432496001505","Naive Bayes","Oversampling","0.9780948553054662","0.9505859375","0.8024036038306451","0.17053984084512003","4867","109","46","253"
"openjpa","6","91.67784176066893","Naive Bayes","Oversampling","0.9707139803334759","0.8930186823992133","0.6586787765874864","0.08466925633796421","4541","137","53","544"
"openjpa","7","92.82849568350214","Naive Bayes","Oversampling","0.9387478193448343","0.9883673469387755","0.7222740136054422","0.21392115540196335","4843","316","59","57"
"openjpa","8","92.28768985284557","Naive Bayes","Oversampling","0.9375956469988097","0.9369583687340697","0.7874973449447749","0.36251121954835874","5514","367","273","371"
"openjpa","9","93.2295719844358","Naive Bayes","Oversampling","0.915962288686606","0.9766031195840554","0.7878159468362276","0.37408874836875866","5635","517","238","135"
"openjpa","10","95.2595724688748","Naive Bayes","Oversampling","0.8943499264860324","0.9677272727272728","0.757957540521494","0.2468310555972819","4258","503","142","142"
"openjpa","11","93.78271415804927","Naive Bayes","Oversampling","0.9759873617693523","0.8992721979621543","0.8730632936806706","0.34769885101250575","6178","152","283","692"
"openjpa","12","94.43364955994971","Naive Bayes","Oversampling","0.9616664255750036","0.9705109489051095","0.8632447260768429","0.4149099194510356","6648","265","190","202"
"openjpa","13","94.81262055662717","Naive Bayes","Oversampling","0.9738156277645142","0.9329349269588313","0.8785313992389567","0.4323456023267412","7025","0","0","505"
"openjpa","14","95.27345334290082","Naive Bayes","Oversampling","0.9862959892703407","0.9742574257425742","0.9187485374710234","0.4706251045134893","7380","0","0","195"
"openjpa","1","65.37797721781153","IBk","Oversampling","0.9437864260199286","0.8957887223411849","0.6672877723641153","0.13161194928407985","5020","299","115","584"
"openjpa","2","78.86792452830188","IBk","Oversampling","0.9567988668555241","0.9601990049751243","0.847845381933868","0.3877906976744191","5404","244","176","224"
"openjpa","3","84.31284582024824","IBk","Oversampling","0.9826832254679028","0.9243172096084238","0.841730725872302","0.2580268830197663","5618","99","117","460"
"openjpa","4","88.37638376383764","IBk","Oversampling","0.960431654676259","0.9785340314136126","0.7963073638688575","0.3002800197661014","5607","231","87","123"
"openjpa","5","90.07432496001505","IBk","Oversampling","0.9793290410030498","0.9407552083333334","0.8037997556843638","0.17465882421116669","5780","122","64","364"
"openjpa","6","91.67784176066893","IBk","Oversampling","0.9696122947956689","0.9098656178302196","0.6160537672434117","0.08178819411051892","5552","174","54","550"
"openjpa","7","92.82849568350214","IBk","Oversampling","0.9383373688458434","0.9886054421768707","0.6959589947089947","0.20644134522762517","5813","382","68","67"
"openjpa","8","92.28768985284557","IBk","Oversampling","0.9361581117588511","0.9323137921268763","0.7688024926543472","0.34192481829610427","6584","449","319","478"
"openjpa","9","93.2295719844358","IBk","Oversampling","0.9153098919140785","0.9662045060658578","0.7711230604621861","0.3470763267841445","6690","619","287","234"
"openjpa","10","95.2595724688748","IBk","Oversampling","0.8955965909090909","0.9553030303030303","0.7457925916138125","0.2427132822291526","5044","588","186","236"
"openjpa","11","93.78271415804927","IBk","Oversampling","0.9764327798607392","0.8845220766618147","0.8588958694678215","0.32269041841747054","7292","176","346","952"
"openjpa","12","94.43364955994971","IBk","Oversampling","0.961231884057971","0.9682481751824817","0.8374895279092359","0.40090044388078655","7959","321","225","261"
"openjpa","13","94.81262055662717","IBk","Oversampling","0.9735232449295562","0.9270694997786632","0.8539819064621287","0.4123748084491023","8377","0","0","659"
"openjpa","14","95.27345334290082","IBk","Oversampling","0.9850674424789096","0.9743674367436743","0.8998257533902764","0.4662927752476158","8857","0","0","233"
"openjpa","1","65.37797721781153","Random Forest","SMOTE","0.951233705772812","0.8750535331905781","0.6974317257859293","0.17830201349215377","8173","419","271","1167"
"openjpa","2","78.86792452830188","Random Forest","SMOTE","0.9585393258426966","0.9094882729211088","0.8041622753579044","0.2902557461961798","8531","369","331","849"
"openjpa","3","84.31049955130122","Random Forest","SMOTE","0.9843802298337611","0.8709772951628826","0.8201691894263464","0.18807832388972792","8823","140","220","1307"
"openjpa","4","88.37638376383764","Random Forest","SMOTE","0.9633163698049194","0.951413612565445","0.7735102242418256","0.2701763418715402","9086","346","184","464"
"openjpa","5","90.07339104252917","Random Forest","SMOTE","0.9811802232854865","0.901171875","0.7772701927923387","0.1431932979744338","9228","177","133","1012"
"openjpa","6","91.67718523193436","Random Forest","SMOTE","0.9717056474614946","0.8374631268436579","0.6296105677172281","0.06649553275321564","8517","248","132","1653"
"openjpa","7","92.82849568350214","Random Forest","SMOTE","0.9443590531816785","0.9404081632653061","0.6916284353741496","0.21108018353067634","9216","543","207","584"
"openjpa","8","2.503591216909501","Random Forest","SMOTE","0.8777347168396049","0.7691156065142774","0.8596632573390025","0.5825708086875948","21063","2934","14682","6323"
"openjpa","9","93.2295719844358","Random Forest","SMOTE","0.9234202695606512","0.9142980935875217","0.7486499592548808","0.32419149519006085","10551","875","635","989"
"openjpa","10","95.25979517053463","Random Forest","SMOTE","0.9027027027027027","0.9109090909090909","0.727342318534179","0.2476962611748526","8016","864","426","784"
"openjpa","11","3.9528498390456352","Random Forest","SMOTE","0.9200510939342329","0.7851472972217564","0.8837585999070833","0.6050866015041446","28091","2441","15508","7687"
"openjpa","12","94.43343747618685","Random Forest","SMOTE","0.9639256105758458","0.9420437956204379","0.8231441405310018","0.35469113012764025","12906","483","427","794"
"openjpa","13","94.81262055662717","Random Forest","SMOTE","0.9741283582554689","0.8910358565737052","0.8477827323981065","0.37628943828531796","13419","0","0","1641"
